data,produto,categoria,quantidade,preco,custo,promocao
2024-09-01,Baguete,Pães,35,8.0,2.6,0
2024-09-01,Bolo de cenoura (fatia),Doces,62,7.0,2.0,0
2024-09-01,Brigadeiro,Doces,180,3.0,0.9,0
2024-09-01,Coxinha,Salgados,71,7.5,2.3,0
2024-09-01,Croissant,Pães,76,7.0,2.4,0
2024-09-01,Empada de frango,Salgados,28,7.0,2.2,0
2024-09-01,Esfiha de carne,Salgados,36,6.5,2.0,0
2024-09-01,Misto quente,Lanches,51,9.0,3.0,0
2024-09-01,Pudim (fatia),Doces,32,10.0,3.2,0
2024-09-01,Pão de batata,Salgados,62,6.0,1.8,0
2024-09-01,Pão de forma caseiro,Pães,25,12.0,4.5,0
2024-09-01,Pão de queijo,Pães,207,3.5,1.1,0
2024-09-01,Pão francês,Pães,1287,0.9,0.3,0
2024-09-01,Pão na chapa,Lanches,150,6.0,1.5,0
2024-09-01,Sanduíche natural,Lanches,10,14.0,5.5,0
2024-09-01,Sonho,Doces,67,6.0,1.9,0
2024-09-01,Suco de laranja natural,Bebidas,62,9.0,3.0,0
2024-09-01,Torta de limão (fatia),Doces,30,11.0,3.5,0
2024-09-02,Baguete,Pães,35,8.0,2.6,0
2024-09-02,Bolo de cenoura (fatia),Doces,31,7.0,2.0,0
2024-09-02,Brigadeiro,Doces,57,3.0,0.9,0
2024-09-02,Coxinha,Salgados,152,7.5,2.3,0
2024-09-02,Croissant,Pães,60,7.0,2.4,0
2024-09-02,Empada de frango,Salgados,59,7.0,2.2,0
2024-09-02,Esfiha de carne,Salgados,74,6.5,2.0,0
2024-09-02,Misto quente,Lanches,90,9.0,3.0,0
2024-09-02,Pudim (fatia),Doces,17,10.0,3.2,0
2024-09-02,Pão de batata,Salgados,61,6.0,1.8,0
2024-09-02,Pão de forma caseiro,Pães,18,12.0,4.5,0
2024-09-02,Pão de queijo,Pães,209,3.5,1.1,0
2024-09-02,Pão francês,Pães,878,0.9,0.3,0
2024-09-02,Pão na chapa,Lanches,121,6.0,1.5,0
2024-09-02,Sanduíche natural,Lanches,63,14.0,5.5,0
2024-09-02,Sonho,Doces,54,6.0,1.9,0
2024-09-02,Suco de laranja natural,Bebidas,63,9.0,3.0,0
2024-09-02,Torta de limão (fatia),Doces,13,11.0,3.5,0
2024-09-03,Baguete,Pães,20,8.0,2.6,0
2024-09-03,Bolo de cenoura (fatia),Doces,65,7.0,2.0,0
2024-09-03,Brigadeiro,Doces,106,3.0,0.9,0
2024-09-03,Coxinha,Salgados,129,7.5,2.3,0
2024-09-03,Croissant,Pães,66,7.0,2.4,0
2024-09-03,Empada de frango,Salgados,36,7.0,2.2,0
2024-09-03,Esfiha de carne,Salgados,96,6.5,2.0,0
2024-09-03,Misto quente,Lanches,24,9.0,3.0,0
